,Patient0,Patient1,Patient2,Patient3,Patient4
En la entrada,"[0.02685546875, 2.884765625, 496.44189453125, 997.05322265625, 1496.74267578125, 1996.97119140625, 2493.1669921875, 3005.974609375, 3502.25, 4000.1689453125, 4500.133544921875, 4999.645751953125, 5498.991455078125, 5998.273681640625, 6499.390625, 6992.435302734375, 7504.061279296875, 8002.401123046875, 8504.886962890625, 9003.512451171875, 9502.638427734375, 9999.572509765625]","[8001.08056640625, 8002.401123046875, 8504.886962890625, 9003.512451171875, 9502.638427734375, 9999.572509765625, 10500.470947265625, 10997.652587890625, 11501.30419921875, 12006.847900390625, 12520.422607421875, 13019.386962890625, 13517.4833984375, 14018.70166015625, 14518.717529296875, 15014.689453125, 15514.684326171875, 16011.1337890625, 16511.935791015625, 17009.12158203125, 17522.260986328125, 18022.060546875, 18538.780517578125, 19068.015625, 19564.4208984375, 20065.31982421875, 20563.71875, 21060.616455078125, 21556.495849609375, 22067.755859375, 22565.254150390625]","[16510.367431640625, 16511.935791015625, 17009.12158203125, 17522.260986328125, 18022.060546875, 18538.780517578125, 19068.015625, 19564.4208984375, 20065.31982421875, 20563.71875, 21060.616455078125, 21556.495849609375, 22067.755859375, 22565.254150390625, 23063.3876953125, 23562.857666015625, 24062.56787109375, 24563.84814453125, 25055.4462890625, 25554.2177734375, 26079.640869140625, 26576.3955078125, 27091.19140625, 27589.6396484375, 28085.79052734375, 28598.302001953125, 29094.86865234375, 29588.427001953125, 30092.316162109375, 30587.447021484375, 31088.903076171875]","[24561.001953125, 24563.84814453125, 25055.4462890625, 25554.2177734375, 26079.640869140625, 26576.3955078125, 27091.19140625, 27589.6396484375, 28085.79052734375, 28598.302001953125, 29094.86865234375, 29588.427001953125, 30092.316162109375, 30587.447021484375, 31088.903076171875, 31592.179931640625, 32092.6416015625, 32590.066162109375, 33092.4208984375, 33589.06396484375, 34089.531494140625, 34587.97998046875, 35097.94580078125, 35593.31494140625, 36094.22021484375, 36593.302978515625]","[31589.972412109375, 31592.179931640625, 32092.6416015625, 32590.066162109375, 33092.4208984375, 33589.06396484375, 34089.531494140625, 34587.97998046875, 35097.94580078125, 35593.31494140625, 36094.22021484375, 36593.302978515625]"
En la sala de espera,"[9999.572509765625, 10500.470947265625, 10997.652587890625, 11501.30419921875, 12006.847900390625, 12520.422607421875, 13019.386962890625, 13517.4833984375, 14018.70166015625, 14518.717529296875, 15014.689453125, 15514.684326171875, 16011.1337890625, 16511.935791015625, 17009.12158203125, 17522.260986328125, 18022.060546875, 18538.780517578125, 19068.015625, 19564.4208984375, 20065.31982421875]","[22565.254150390625, 23063.3876953125, 23562.857666015625, 24062.56787109375, 24563.84814453125, 25055.4462890625, 25554.2177734375, 26079.640869140625, 26576.3955078125, 27091.19140625, 27589.6396484375, 28085.79052734375, 28598.302001953125, 29094.86865234375, 29588.427001953125, 30092.316162109375, 30587.447021484375, 31088.903076171875, 31592.179931640625, 32092.6416015625, 32590.066162109375]","[31088.903076171875, 31592.179931640625, 32092.6416015625, 32590.066162109375, 33092.4208984375, 33589.06396484375, 34089.531494140625, 34587.97998046875, 35097.94580078125, 35593.31494140625, 36094.22021484375, 36593.302978515625]",,
En la consulta,"[20065.31982421875, 20563.71875, 21060.616455078125, 21556.495849609375, 22067.755859375, 22565.254150390625, 23063.3876953125, 23562.857666015625, 24062.56787109375, 24563.84814453125, 25055.4462890625, 25554.2177734375, 26079.640869140625, 26576.3955078125, 27091.19140625, 27589.6396484375, 28085.79052734375, 28598.302001953125, 29094.86865234375, 29588.427001953125]","[32590.066162109375, 33092.4208984375, 33589.06396484375, 34089.531494140625, 34587.97998046875, 35097.94580078125, 35593.31494140625, 36094.22021484375, 36593.302978515625]",,,
