,Paciente1,Paciente2,Paciente3,Paciente4,Paciente5,Paciente6,Paciente7,Paciente8
En la entrada,"[0, 2011.889892578125, 4018.986083984375]","[0, 2011.889892578125, 4018.986083984375, 6012.982666015625]","[0, 2011.889892578125, 4018.986083984375, 6012.982666015625, 8023.060791015625, 10013.53515625, 12040.95947265625, 18080.82177734375, 20089.954833984375]","[0, 8023.060791015625, 10013.53515625, 12040.95947265625]","[0, 12040.95947265625, 18080.82177734375]","[0, 18080.82177734375, 20089.954833984375, 22083.210693359375]","[0, 20089.954833984375, 22083.210693359375, 24079.490234375, 26092.2451171875, 28105.50390625, 30105.2626953125, 32117.84326171875, 34109.556396484375, 36123.572509765625]","[0, 24079.490234375, 26092.2451171875, 28105.50390625]"
En la sala de espera,"[4018.986083984375, 6012.982666015625]","[6012.982666015625, 8023.060791015625]","[20089.954833984375, 22083.210693359375, 24079.490234375, 26092.2451171875, 28105.50390625, 30105.2626953125, 32117.84326171875, 34109.556396484375, 36123.572509765625]","[12040.95947265625, 18080.82177734375]","[18080.82177734375, 20089.954833984375, 22083.210693359375, 24079.490234375, 26092.2451171875, 28105.50390625, 30105.2626953125, 32117.84326171875, 34109.556396484375, 36123.572509765625]","[22083.210693359375, 24079.490234375, 26092.2451171875, 28105.50390625, 30105.2626953125, 32117.84326171875, 34109.556396484375, 36123.572509765625]",,"[28105.50390625, 30105.2626953125, 32117.84326171875, 34109.556396484375, 36123.572509765625]"
En tratamiento,"[6012.982666015625, 8023.060791015625]",[8023.060791015625],,[18080.82177734375],,,,
