,Patient0,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6,Patient7,Patient8,Patient9
En la entrada,"[0.01708984375, 0.771728515625, 499.796142578125, 1013.96533203125, 1527.97119140625, 2043.9833984375, 2557.606689453125, 3071.935302734375, 3583.195068359375, 4083.457275390625, 4580.5205078125, 5082.290771484375, 5596.197509765625, 6146.679931640625, 6605.69775390625, 7126.140625, 7630.064697265625, 8131.560546875, 8647.397216796875, 9145.26611328125, 9660.302001953125, 10158.455322265625]","[7629.430908203125, 7630.064697265625, 8131.560546875, 8647.397216796875, 9145.26611328125, 9660.302001953125, 10158.455322265625, 10674.1005859375, 11192.646240234375, 11690.33984375, 12191.404541015625, 12696.2666015625, 13194.792236328125, 13695.80078125, 14193.98291015625, 14695.298583984375, 15195.675048828125, 15685.82080078125, 16194.222412109375, 16698.308349609375, 17197.770751953125, 17713.87744140625, 18229.015869140625, 18742.33154296875, 19242.454345703125, 19743.720458984375, 20245.076171875, 20744.8662109375, 21242.50048828125, 21744.41455078125, 22243.626953125]","[14694.40185546875, 14695.298583984375, 15195.675048828125, 15685.82080078125, 16194.222412109375, 16698.308349609375, 17197.770751953125, 17713.87744140625, 18229.015869140625, 18742.33154296875, 19242.454345703125, 19743.720458984375, 20245.076171875, 20744.8662109375, 21242.50048828125, 21744.41455078125, 22243.626953125, 22759.258544921875, 23275.885009765625, 23777.926513671875, 24281.363525390625, 24783.091796875, 25282.6259765625, 25798.233154296875, 26315.29736328125, 26815.672119140625, 27320.422607421875, 27820.8896484375, 28320.09765625, 28819.74169921875, 29322.456298828125, 29821.870849609375]","[22758.3564453125, 22759.258544921875, 23275.885009765625, 23777.926513671875, 24281.363525390625, 24783.091796875, 25282.6259765625, 25798.233154296875, 26315.29736328125, 26815.672119140625, 27320.422607421875, 27820.8896484375, 28320.09765625, 28819.74169921875, 29322.456298828125, 29821.870849609375, 30321.7314453125, 30821.14404296875, 31321.48876953125, 31836.807373046875, 32325.665283203125, 32831.33935546875, 33345.58203125, 33862.1875, 34380.567138671875, 34877.8671875, 35391.25537109375, 35905.196533203125, 36406.0830078125, 36918.074951171875, 37404.20263671875, 37903.813232421875]","[31836.10498046875, 31836.807373046875, 32325.665283203125, 32831.33935546875, 33345.58203125, 33862.1875, 34380.567138671875, 34877.8671875, 35391.25537109375, 35905.196533203125, 36406.0830078125, 36918.074951171875, 37404.20263671875, 37903.813232421875, 38418.554443359375, 38919.158447265625, 39436.195068359375, 39948.70361328125, 40463.08544921875, 40976.7861328125, 41494.044189453125, 41995.6025390625, 42998.09521484375, 43499.939208984375, 44013.79345703125, 44515.046630859375, 45030.097900390625, 45530.25830078125, 46045.3583984375]","[39948.01806640625, 39948.70361328125, 40463.08544921875, 40976.7861328125, 41494.044189453125, 41995.6025390625, 42998.09521484375, 43499.939208984375, 44013.79345703125, 44515.046630859375, 45030.097900390625, 45530.25830078125, 46045.3583984375, 46550.401611328125, 47051.44091796875, 47567.0009765625, 48066.814453125, 48567.195068359375, 49063.68017578125, 49564.700439453125, 50067.171142578125, 50570.11474609375, 51072.4619140625, 51586.16650390625, 52105.05322265625, 52604.848388671875, 53108.842529296875, 53610.658447265625, 54127.88525390625, 54631.21728515625]","[48066.13134765625, 48066.814453125, 48567.195068359375, 49063.68017578125, 49564.700439453125, 50067.171142578125, 50570.11474609375, 51072.4619140625, 51586.16650390625, 52105.05322265625, 52604.848388671875, 53108.842529296875, 53610.658447265625, 54127.88525390625, 54631.21728515625, 55149.517578125, 55663.591796875, 56176.635986328125, 56680.90283203125, 57183.65869140625, 57682.218994140625, 58199.3134765625, 58684.413330078125, 59200.33837890625, 59717.957275390625, 60219.97509765625, 60719.51220703125, 61237.31494140625, 61750.805908203125, 62250.221435546875, 62748.1962890625]","[56679.779541015625, 56680.90283203125, 57183.65869140625, 57682.218994140625, 58199.3134765625, 58684.413330078125, 59200.33837890625, 59717.957275390625, 60219.97509765625, 60719.51220703125, 61237.31494140625, 61750.805908203125, 62250.221435546875, 62748.1962890625, 63248.45361328125, 63746.845947265625, 64248.36181640625, 64761.67919921875, 65247.42626953125, 65747.4453125, 66248.50903320312, 66749.78637695312, 67255.50463867188, 67758.15649414062, 68274.1494140625, 68779.10083007812, 69289.32299804688, 69790.7783203125, 70303.21313476562, 70804.69360351562, 71318.18310546875, 71834.46875]","[64247.640625, 64248.36181640625, 64761.67919921875, 65247.42626953125, 65747.4453125, 66248.50903320312, 66749.78637695312, 67255.50463867188, 67758.15649414062, 68274.1494140625, 68779.10083007812, 69289.32299804688, 69790.7783203125, 70303.21313476562, 70804.69360351562, 71318.18310546875, 71834.46875, 72350.2431640625, 72863.54736328125, 73378.1953125, 73878.037109375, 74393.36401367188, 74894.64013671875, 75409.85327148438, 75925.38549804688, 76426.04125976562, 76924.76879882812, 77425.55517578125, 77925.91357421875, 78439.3564453125, 78952.45971679688]","[72349.20239257812, 72350.2431640625, 72863.54736328125, 73378.1953125, 73878.037109375, 74393.36401367188, 74894.64013671875, 75409.85327148438, 75925.38549804688, 76426.04125976562, 76924.76879882812, 77425.55517578125, 77925.91357421875, 78439.3564453125, 78952.45971679688, 79466.47631835938, 79969.21557617188]"
En la sala de espera,"[10158.455322265625, 10674.1005859375, 11192.646240234375, 11690.33984375, 12191.404541015625, 12696.2666015625, 13194.792236328125, 13695.80078125, 14193.98291015625, 14695.298583984375, 15195.675048828125, 15685.82080078125, 16194.222412109375, 16698.308349609375, 17197.770751953125, 17713.87744140625, 18229.015869140625, 18742.33154296875, 19242.454345703125, 19743.720458984375, 20245.076171875]","[22243.626953125, 22759.258544921875, 23275.885009765625, 23777.926513671875, 24281.363525390625, 24783.091796875, 25282.6259765625, 25798.233154296875, 26315.29736328125, 26815.672119140625, 27320.422607421875, 27820.8896484375, 28320.09765625, 28819.74169921875, 29322.456298828125, 29821.870849609375, 30321.7314453125, 30821.14404296875, 31321.48876953125, 31836.807373046875, 32325.665283203125]","[29821.870849609375, 30321.7314453125, 30821.14404296875, 31321.48876953125, 31836.807373046875, 32325.665283203125, 32831.33935546875, 33345.58203125, 33862.1875, 34380.567138671875, 34877.8671875, 35391.25537109375, 35905.196533203125, 36406.0830078125, 36918.074951171875, 37404.20263671875, 37903.813232421875, 38418.554443359375, 38919.158447265625, 39436.195068359375, 39948.70361328125, 40463.08544921875, 40976.7861328125, 41494.044189453125, 41995.6025390625]","[37903.813232421875, 38418.554443359375, 38919.158447265625, 39436.195068359375, 39948.70361328125, 40463.08544921875, 40976.7861328125, 41494.044189453125, 41995.6025390625, 42998.09521484375, 43499.939208984375, 44013.79345703125, 44515.046630859375, 45030.097900390625, 45530.25830078125, 46045.3583984375, 46550.401611328125, 47051.44091796875, 47567.0009765625, 48066.814453125, 48567.195068359375, 49063.68017578125, 49564.700439453125, 50067.171142578125, 50570.11474609375, 51072.4619140625, 51586.16650390625, 52105.05322265625]","[46045.3583984375, 46550.401611328125, 47051.44091796875, 47567.0009765625, 48066.814453125, 48567.195068359375, 49063.68017578125, 49564.700439453125, 50067.171142578125, 50570.11474609375, 51072.4619140625, 51586.16650390625, 52105.05322265625, 52604.848388671875, 53108.842529296875, 53610.658447265625, 54127.88525390625, 54631.21728515625, 55149.517578125, 55663.591796875, 56176.635986328125, 56680.90283203125, 57183.65869140625, 57682.218994140625, 58199.3134765625, 58684.413330078125, 59200.33837890625, 59717.957275390625, 60219.97509765625, 60719.51220703125, 61237.31494140625, 61750.805908203125, 62250.221435546875]","[54631.21728515625, 55149.517578125, 55663.591796875, 56176.635986328125, 56680.90283203125, 57183.65869140625, 57682.218994140625, 58199.3134765625, 58684.413330078125, 59200.33837890625, 59717.957275390625, 60219.97509765625, 60719.51220703125, 61237.31494140625, 61750.805908203125, 62250.221435546875, 62748.1962890625, 63248.45361328125, 63746.845947265625, 64248.36181640625, 64761.67919921875, 65247.42626953125, 65747.4453125, 66248.50903320312, 66749.78637695312, 67255.50463867188, 67758.15649414062, 68274.1494140625, 68779.10083007812, 69289.32299804688, 69790.7783203125, 70303.21313476562, 70804.69360351562, 71318.18310546875, 71834.46875, 72350.2431640625]","[62748.1962890625, 63248.45361328125, 63746.845947265625, 64248.36181640625, 64761.67919921875, 65247.42626953125, 65747.4453125, 66248.50903320312, 66749.78637695312, 67255.50463867188, 67758.15649414062, 68274.1494140625, 68779.10083007812, 69289.32299804688, 69790.7783203125, 70303.21313476562, 70804.69360351562, 71318.18310546875, 71834.46875, 72350.2431640625, 72863.54736328125, 73378.1953125, 73878.037109375, 74393.36401367188, 74894.64013671875, 75409.85327148438, 75925.38549804688, 76426.04125976562, 76924.76879882812, 77425.55517578125, 77925.91357421875, 78439.3564453125, 78952.45971679688, 79466.47631835938, 79969.21557617188]","[71834.46875, 72350.2431640625, 72863.54736328125, 73378.1953125, 73878.037109375, 74393.36401367188, 74894.64013671875, 75409.85327148438, 75925.38549804688, 76426.04125976562, 76924.76879882812, 77425.55517578125, 77925.91357421875, 78439.3564453125, 78952.45971679688, 79466.47631835938, 79969.21557617188]","[78952.45971679688, 79466.47631835938, 79969.21557617188]",
En la consulta,"[20245.076171875, 20744.8662109375, 21242.50048828125, 21744.41455078125, 22243.626953125, 22759.258544921875, 23275.885009765625, 23777.926513671875, 24281.363525390625, 24783.091796875, 25282.6259765625, 25798.233154296875, 26315.29736328125, 26815.672119140625, 27320.422607421875, 27820.8896484375, 28320.09765625, 28819.74169921875, 29322.456298828125, 29821.870849609375]","[32325.665283203125, 32831.33935546875, 33345.58203125, 33862.1875, 34380.567138671875, 34877.8671875, 35391.25537109375, 35905.196533203125, 36406.0830078125, 36918.074951171875, 37404.20263671875, 37903.813232421875, 38418.554443359375, 38919.158447265625, 39436.195068359375, 39948.70361328125, 40463.08544921875, 40976.7861328125, 41494.044189453125]","[41995.6025390625, 42998.09521484375, 43499.939208984375, 44013.79345703125, 44515.046630859375, 45030.097900390625, 45530.25830078125, 46045.3583984375, 46550.401611328125, 47051.44091796875, 47567.0009765625, 48066.814453125, 48567.195068359375, 49063.68017578125, 49564.700439453125, 50067.171142578125, 50570.11474609375, 51072.4619140625, 51586.16650390625]","[52105.05322265625, 52604.848388671875, 53108.842529296875, 53610.658447265625, 54127.88525390625, 54631.21728515625, 55149.517578125, 55663.591796875, 56176.635986328125, 56680.90283203125, 57183.65869140625, 57682.218994140625, 58199.3134765625, 58684.413330078125, 59200.33837890625, 59717.957275390625, 60219.97509765625, 60719.51220703125, 61237.31494140625, 61750.805908203125]","[62250.221435546875, 62748.1962890625, 63248.45361328125, 63746.845947265625, 64248.36181640625, 64761.67919921875, 65247.42626953125, 65747.4453125, 66248.50903320312, 66749.78637695312, 67255.50463867188, 67758.15649414062, 68274.1494140625, 68779.10083007812, 69289.32299804688, 69790.7783203125, 70303.21313476562, 70804.69360351562, 71318.18310546875, 71834.46875]","[72350.2431640625, 72863.54736328125, 73378.1953125, 73878.037109375, 74393.36401367188, 74894.64013671875, 75409.85327148438, 75925.38549804688, 76426.04125976562, 76924.76879882812, 77425.55517578125, 77925.91357421875, 78439.3564453125, 78952.45971679688, 79466.47631835938, 79969.21557617188]",,,,
